Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
144-48-2,2,4&5,71.22929126,4,45,390934.8825,3089629.362,85.89152471,27.92717492,2403,SINDHUPALCHOK,3,2819.72,#N/A,26.66240376,#N/A,166.7068519,#N/A,53,#N/A,#N/A,2021,#N/A
144-48-5,2,4&5,59.455941,4,45,391234.8825,3089629.362,85.89457328,27.92719942,2360,SINDHUPALCHOK,3,474.63,#N/A,22.09648815,#N/A,139.1522023,#N/A,68,#N/A,#N/A,2021,#N/A
144-48-6,2,4&5,55.29916083,4,45,391234.8825,3089779.362,85.8945595,27.92855328,2367,SINDHUPALCHOK,3,143.49,#N/A,14.96942303,#N/A,129.4235679,#N/A,77,#N/A,#N/A,2021,#N/A
145-36-2,2,3,33.83097116,3,45,393773.532,3041546.703,85.92463577,27.49340646,1832,RAMECHHAP,3,742.98,53.93584183,13.27035057,4.9840375,79.17886867,33.1339331,44,30,2014,2019,1853
145-36-4,2,3,81.43121001,3,45,394073.532,3041396.703,85.92768545,27.49207594,1793,RAMECHHAP,3,735.54,1284.955117,27.26908388,24.89314201,190.583683,187.7410474,90,77,2012,2019,2504
145-36-6,2,3,66.3664818,3,45,394073.532,3041696.703,85.92765921,27.49478385,1961,RAMECHHAP,3,1680.73,962.2242601,27.7628705,18.75143646,155.3258085,107.7716994,68,70,2012,2019,2503
145-42-1,2,4&5,81.79817582,4,45,394353.623,3065389.692,85.92841592,27.70866417,2284,SINDHUPALCHOK,3,1544.8,899.8885741,32.26383948,36.61384705,191.4425391,218.5811821,33,67,2014,2019,1885
145-42-2,2,4&5,46.47917532,4,45,394353.623,3065539.692,85.92840268,27.71001809,2316,SINDHUPALCHOK,3,1642.66,1151.441804,17.92685865,15.46928177,108.7810486,86.41925782,33,30,2014,2019,1904
146-32-1,2,3,22.30273262,3,45,397385.6361,3025304.696,85.96256828,27.34707465,698,SINDHULI,3,461.81,#N/A,8.714926249,#N/A,52.19788487,#N/A,77,#N/A,#N/A,2020,#N/A
146-32-4,2,3,12.32210436,3,45,397685.6361,3025304.696,85.96560088,27.34709714,764,SINDHULI,3,23.88,#N/A,3.378674985,#N/A,28.83896764,#N/A,31,#N/A,#N/A,2020,#N/A
